Unnamed: 0,deg_0,ne_0,deg_1,ne_1,deg_2,ne_2,deg_4,ne_4,deg_5,ne_5,deg_6,ne_6,deg_7,ne_7,id
21,1869.641392,232.9017029,2607.764881,298.0501749,3868.360247,860.2993627,2682.216163,323.7256361,2006.831077,739.1771447,2733.962015,615.0336843,3647.737417,796.8945967,2
22,2381.953036,421.8360083,1372.590252,151.9936238,1326.678383,275.0351972,1213.690225,128.1293078,1494.735756,569.4874679,2758.370609,607.0073964,2028.497326,411.0438507,2
23,3040.228629,520.4392451,1707.070378,203.800824,2196.887898,473.2298092,1822.577197,205.1719919,1274.379566,515.4203972,2504.017794,510.3142335,2337.903366,513.2965174,2
24,3206.367469,582.78192,2265.451747,263.0446793,4685.305888,1077.153988,2363.49699,272.0228712,1645.256007,689.8986691,3088.743227,648.7004447,3990.470765,846.0415502,2
25,3967.388262,749.3596225,2350.236808,260.1037217,3050.087277,618.2515361,2116.153762,237.5319373,3077.685182,1263.047284,3705.579133,807.7244424,2143.559998,449.9077734,2
26,3592.253824,616.4269899,2119.490197,231.6491,4233.743419,986.3079641,1938.197548,220.3888124,1809.769012,637.5195532,2454.793409,550.507253,3313.644471,702.9934477,2
27,2655.295813,472.7560476,2199.560588,259.6193114,3872.747295,922.8731714,2525.818651,285.0308812,1532.730874,601.820505,3544.263337,765.5984222,3238.506653,687.0753386,3
28,1427.587666,239.2067796,1951.954463,215.754329,5217.002478,1115.896882,1994.611642,219.6558217,1342.381014,484.5115894,1731.9761,374.1754125,4661.404123,1021.045735,3
29,2658.226442,471.9047084,1965.214934,211.3826946,4516.253253,975.4146098,2115.500911,225.230983,1487.228111,538.8341829,2541.089921,587.7944747,3208.258071,731.2900332,3
30,2840.328887,491.4655037,1856.49341,214.1520904,4088.438066,951.0226144,1657.319213,195.4346324,1958.679844,704.9600523,1992.952348,436.4979972,2724.117541,554.8475818,3
31,2402.975405,436.6667648,2783.070423,311.1444684,4491.995716,1007.290152,2557.707509,307.4502328,1989.506657,826.3426106,1926.377083,426.2744547,3641.58397,814.8771008,3
32,2555.352197,449.3608597,2321.955809,266.9061143,3290.991918,744.8858534,2391.456669,275.1829966,1902.328322,777.0756467,2369.022101,526.2147316,2498.809286,530.5619229,3
33,2456.843977,478.6941551,1329.549425,164.3533304,1957.168207,467.0748072,1746.77182,207.0963614,1600.589627,646.5315157,2570.823601,610.3838562,1979.355687,449.1578195,3
34,2735.801971,497.1891261,2805.060857,317.0982635,3918.91831,921.7556183,3148.074955,356.0299963,2051.001757,828.0955471,2719.963238,610.7449207,3473.834339,678.1573801,3
35,3111.49561,600.9390861,2522.250549,279.7499016,4064.182677,864.8218294,2066.271243,211.3484731,1337.390718,513.5813205,2186.082319,473.0211717,4050.831547,842.8909058,3
36,2048.699802,344.1138222,2189.972973,228.2162907,4386.687426,1037.930048,2103.571673,231.3205825,2095.441058,811.5837954,1772.314847,372.2649202,3811.534513,838.7140837,3
37,3915.955578,719.6940184,1131.363601,124.9272546,3659.639527,822.4780623,675.9575992,69.95606933,2713.724893,1079.28773,3590.888214,806.5050002,3109.276848,611.1167468,3
38,2942.380759,575.8996615,1005.342063,103.4768149,3089.501541,725.741274,1078.932168,125.4119295,1474.329648,536.6967673,2639.201139,584.6224282,2215.255317,539.4164369,3
39,2332.082365,408.9007428,1905.264075,216.2130063,3832.870369,822.5862149,1937.743571,212.7463657,1792.175496,700.0172291,3064.322708,677.6522577,1718.116275,320.3543831,3
40,6780.929344,1188.042394,3789.436839,369.7521338,9091.007379,1789.977288,3586.722264,331.9151603,3673.209058,1582.371914,6095.966479,1391.557309,7608.934141,1531.176886,3
