,deg_1_lob,ne_1_lob,deg_2_lob,ne_2_lob,deg_3_lob,ne_3_lob,deg_4_lob,ne_4_lob,deg_5_lob,ne_5_lob,deg_7_lob,ne_7_lob,deg_8_lob,ne_8_lob,deg_10_lob,ne_10_lob,deg_11_lob,ne_11_lob,deg_12_lob,ne_12_lob,deg_13_lob,ne_13_lob,deg_14_lob,ne_14_lob,id
10,964.9258145,136.5372268,3245.768659,1073.617611,4148.713943,1977.521936,2312.21052,506.3073493,496.2743034,232.9834946,813.5170444,203.8469477,1057.56445,255.1350936,374.6525349,176.1287253,1953.04045,446.0566996,2383.064087,1034.04968,1027.6596,320.9587152,927.4952069,111.3748617,2
11,959.1846814,143.1727323,818.9470182,204.7367546,1821.341273,731.9189433,2556.16738,541.2460854,551.2309214,260.9867416,807.5865685,195.9681889,629.0195267,170.699007,507.4903206,245.0606789,2438.448225,542.0071104,4711.086661,1938.353175,607.0174304,151.7543576,589.160225,77.77382432,2
12,544.3207679,59.43328685,4566.173221,1216.702712,2243.83553,946.6912312,23.58483663,3.063423092,0,0,698.2062007,143.9422106,119.1467441,24.29191983,405.0497827,149.8606859,1121.148205,189.3059776,4368.049106,1805.717205,7218.477652,2335.828172,762.6647089,89.67143293,2
13,956.7953801,142.7541768,2950.500917,998.1972773,4003.203028,1560.740312,1957.254341,456.6736257,381.954439,183.9516059,291.6983103,82.02889616,416.6644479,111.6677538,616.3295028,291.2477262,2262.775016,517.3557514,4282.977979,1829.298988,3783.243439,1304.3507,602.9994331,82.508144,2
14,2623.744916,431.3826032,2889.409989,1030.035151,3553.966546,1404.223123,1677.214632,366.1882386,626.9555699,290.3750468,604.9044811,154.2806784,861.1652253,206.3469202,644.4803686,307.1930771,2021.668959,457.4332364,3486.343281,1355.795791,3443.363332,1217.378597,2850.655933,464.667562,2
15,1919.245634,338.3470367,3693.805849,1088.01543,4628.617022,1947.239197,2481.855421,571.3956485,335.1833261,158.1624805,1037.274232,281.7889798,1077.818903,275.7378791,386.6421492,184.3306011,2312.900197,545.8717949,5024.398386,2079.273184,2954.895511,1012.519669,1709.96003,304.7169861,2
16,3046.003963,529.33515,2327.838185,766.0646222,5941.824406,2447.861821,2088.338829,471.8390505,417.4140364,197.9738456,601.8776318,139.7839349,671.310729,163.9870604,380.2276606,182.3255084,2040.672717,448.8282915,5896.998797,2293.582432,2805.172476,927.4622231,2632.769548,449.6343056,2
17,2930.025737,498.0154489,7098.419917,2161.020567,5524.36942,2128.153877,2533.213794,546.1589512,534.1518368,251.7389466,942.1883278,224.3834122,875.8498258,229.5091824,373.838981,176.5523206,1706.939591,391.012861,2089.060856,920.4175416,4676.406993,1444.246528,2640.489741,391.3345552,2
18,1632.153853,283.446493,3133.801168,1073.710147,4225.899335,1753.789831,2264.44855,507.3972584,471.6037495,223.9465942,999.1494273,244.7501942,807.1203055,198.7885377,518.0193962,239.1866536,2518.109447,563.0496133,3453.5159,1320.599988,3341.321978,1110.154261,1718.160667,310.7994772,2
19,1140.092404,218.9530898,2300.233503,808.9301483,1954.192982,879.7838344,1820.308688,414.8705735,524.9185881,252.4468842,1093.327494,291.9582658,1182.295847,299.3335201,390.0139389,187.3132064,1721.677247,411.0177824,2127.367232,898.3644608,2596.054936,874.9496866,1020.939134,177.1455975,2
20,2088.65741,336.0434395,2908.719791,1020.326631,4257.975801,1707.18826,2659.65663,550.8678975,439.1358209,202.4934131,1107.321032,286.8052815,1077.507801,259.6094728,450.6894483,214.3533559,2124.670584,479.7727258,4049.705624,1664.581985,3809.435087,1258.901918,2153.832534,397.1977703,2
21,2320.158049,397.7585292,3434.074471,1148.577313,3763.911521,1455.103754,1227.250751,197.349873,387.0389697,183.6388969,1063.860594,255.6992164,1070.955201,242.0807989,717.7142697,323.0810725,2709.962656,586.305301,4112.075983,1728.254679,4024.479151,1374.911018,2482.290287,428.7711019,2
22,1096.027795,177.6088223,391.3348034,97.83370086,602.0349921,201.1702093,1980.712985,429.705565,376.3491376,178.895506,977.9554798,246.1042016,752.0370803,191.884199,306.4758093,146.5643031,2137.619413,477.9347913,2388.912037,799.8890302,1268.749656,450.5106349,931.1902072,152.7718028,2
