deg_1_lob,cc_1_lob,ne_1_lob,deg_2_lob,cc_2_lob,ne_2_lob,deg_3_lob,cc_3_lob,ne_3_lob,deg_4_lob,cc_4_lob,ne_4_lob,deg_5_lob,cc_5_lob,ne_5_lob,deg_6_lob,cc_6_lob,ne_6_lob,deg_7_lob,cc_7_lob,ne_7_lob,deg_8_lob,cc_8_lob,ne_8_lob,deg_9_lob,cc_9_lob,ne_9_lob,deg_10_lob,cc_10_lob,ne_10_lob,deg_11_lob,cc_11_lob,ne_11_lob,deg_12_lob,cc_12_lob,ne_12_lob,id
68.43528545,0.808410707,10.77295907,15.81328067,0.494557681,3.404366874,91.35104,0.845716254,29.38688309,73.486185,1,29.12930558,41.75561233,0.872081893,12.80072462,37.64235333,0.79497502,9.520973039,60.87456095,0.652396511,10.37029563,16.81492444,0.456971143,3.978367289,80.71376,0.731919579,25.16877369,57.977,0.850695388,22.85425683,73.036384,0.817650266,21.3590928,38.76836667,0.81144785,10.63067799,2
56.06714618,0.848382774,8.958463065,15.18883111,0.442402386,3.422435394,79.09768,0.915351098,25.1826528,51.88042,1,20.51844386,38.73863667,0.72621684,11.650134,29.59588,0.822833036,8.022943517,49.82487761,0.799775989,8.618879517,15.04450222,0.43047324,3.30593103,65.337884,0.918937009,20.6529343,43.54135,0.884550769,17.88114137,67.68577667,0.77609405,19.73868548,30.15788667,0.933557812,8.142836125,2
58.74273564,0.777325773,9.83505685,17.55285778,0.517077116,3.6658378,73.12352,0.866414523,23.6253142,66.00105,1,26.6490551,38.40358797,0.764814102,11.45110542,32.46737667,0.883609228,8.796211803,56.91444129,0.77967238,9.649536849,17.75758347,0.547335391,3.544823729,77.59544,0.670735391,25.81604184,41.93873,1,15.68550697,59.89510267,0.80743689,18.19199345,28.48246667,0.939116439,7.471759579,3
67.75107273,0.795157883,11.22573999,14.18891489,0.602095039,3.100795073,96.99444,0.842741703,31.13571906,78.34785,1,30.99510601,39.56143333,0.653611113,11.61125571,33.56966667,0.760458628,9.016375202,62.50802727,0.777895818,10.54723269,14.96503364,0.782177244,3.355412006,91.49564,0.667711477,31.22557515,51.63186,1,20.53417611,54.14006667,0.703937642,16.0984802,30.05665,0.741230936,8.138193783,3
57.03204418,0.822898769,9.339018141,18.58120889,0.458805163,3.517537383,75.05564,1,24.35135029,81.813,1,33.57295427,38.46130667,0.869539107,11.20648514,33.20044,0.878518732,9.485689828,65.23023636,0.736270112,10.95207462,20.76334,0.496536491,4.209343583,86.8584,0.870734219,28.59337582,45.18685,0.860694867,18.70446301,67.1761,0.619443148,20.4417227,36.713,0.770959447,9.756823033,3
54.56546945,0.844428036,9.070815841,11.87804222,0.451467185,2.482709375,75.54536,1,23.20725698,40.4379,0.84833301,16.21837538,33.25568,0.817617691,9.696021095,38.27466333,0.935643999,9.638196215,54.38390382,0.740712353,9.563962686,12.68210667,0.433650854,2.692210754,85.621604,1,26.49076938,55.801815,1,21.33976729,41.42911667,0.775492841,12.77104878,35.43137667,0.880808505,9.716857076,3
59.47441327,0.838633261,9.707183152,16.34318889,0.493479666,3.482929655,69.083544,0.863904587,22.36872939,81.3056,1,31.53773028,39.64373333,0.677467325,11.56908189,31.23900333,0.844039527,8.219802325,56.09829736,0.792898069,9.645422129,17.27264889,0.490129428,3.462360008,73.50448,0.733254463,24.43100134,46.00592,1,18.11142619,57.56068667,0.865557169,16.92236237,26.35096667,0.52590126,7.137307872,3
67.30451218,0.805243555,10.92681417,17.92388633,0.798140191,3.567244143,81.56224,0.874940218,25.75340897,68.764635,1,27.39473157,42.0987,0.613567354,12.56674546,33.41226667,0.961806407,8.45152993,63.77296242,0.735636864,10.70922325,22.58917422,0.80890686,4.241757696,76.08472,0.679144979,25.70179955,42.66738,1,17.01085883,70.24556667,0.708616473,20.46651754,28.93017,0.884521042,7.413204677,3
69.15734409,0.825094462,11.95928739,20.34277644,0.507728526,4.490231642,92.77968,0.917462006,29.63929568,78.38425,0.827976007,31.45020222,47.89526667,0.607926514,14.59864168,34.2734,0.564388412,8.283001222,63.87843818,0.771569154,10.70735552,15.63391111,0.413422854,2.616900199,90.0309,0.850671132,29.01517497,64.3715,0.838805855,24.85684654,64.59628667,0.938100264,19.0051702,36.34795,0.687814999,9.600563413,3
76.47020455,0.813941692,12.58670695,20.87306667,0.688858691,4.581993283,88.5906,1,27.85901723,83.5248,1,32.55964107,51.01176667,0.70625763,14.94351828,34.24414,0.91032948,8.866058743,72.81709455,0.822023224,12.49766592,20.56934462,0.729375101,4.352486915,87.729608,0.86956984,28.74723464,55.35175,0.858864987,22.89051495,75.05441167,0.867713109,22.28390175,34.58303667,0.83029466,9.007078208,3
